GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SQLDomainGen,com.sqldomaingen.model,Table,106,48,5,1,13,10,10,8,7,8
SQLDomainGen,com.sqldomaingen.model,Relationship.RelationshipType,0,27,0,0,0,5,0,1,0,1
SQLDomainGen,com.sqldomaingen.model,Relationship,30,86,0,0,1,12,1,20,1,20
SQLDomainGen,com.sqldomaingen.model,Column,138,120,0,0,12,19,24,33,24,33
SQLDomainGen,com.sqldomaingen,SQLDomainGenApplication,8,0,0,0,3,0,2,0,2,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ColumnNameListContext,52,0,4,0,13,0,12,0,10,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLBaseListener,116,25,0,0,116,23,116,23,116,23
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.InsertStatementContext,81,0,4,0,19,0,18,0,16,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.RuleEventContext,33,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TableConstraintContext,97,0,4,0,21,0,20,0,18,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.RelationshipTypeContext,23,0,4,0,7,0,6,0,4,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SubqueryContext,39,0,4,0,10,0,9,0,7,0
SQLDomainGen,com.sqldomaingen.parser,SQLParser.new BaseErrorListener() {...},14,0,0,0,2,0,2,0,2,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.OrderByClauseContext,29,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,SQLParser.new BaseErrorListener() {...},8,6,0,0,1,1,1,1,1,1
SQLDomainGen,com.sqldomaingen.parser,SQLParser,121,68,12,4,29,16,12,6,4,6
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TriggerStatementContext,94,0,4,0,21,0,20,0,18,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreatePolicyStatementContext,97,0,4,0,22,0,21,0,19,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SqlScriptContext,121,7,4,0,25,3,25,2,23,2
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.PartitionOfClauseContext,35,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SelectListContext,42,0,4,0,11,0,10,0,8,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ActionContext,2,21,2,2,1,6,3,3,1,3
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.DataTypeContext,52,29,2,2,11,8,13,5,11,5
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SelectStatementContext,71,0,4,0,16,0,15,0,13,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.DefaultValueContext,35,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLLexer,16,2601,0,8,8,27,8,9,8,5
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.StatementContext,49,0,4,0,12,0,11,0,9,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.OnUpdateActionContext,23,0,4,0,7,0,6,0,4,0
SQLDomainGen,com.sqldomaingen.parser,CreateTableDefinition,52,195,4,6,6,41,9,9,5,8
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ConstraintContext,70,41,2,2,13,10,15,7,13,7
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreateRuleStatementContext,81,0,4,0,18,0,17,0,15,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.AlterColumnActionContext,61,0,4,0,15,0,14,0,12,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ConditionContext,66,23,2,2,13,7,15,4,13,4
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SchemaNameContext,28,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ParameterContext,34,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.UpdateStatementContext,69,0,4,0,16,0,15,0,13,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.AlterTableStatementContext,58,0,4,0,14,0,13,0,11,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ExcludeElementContext,35,0,4,0,9,0,8,0,6,0
