GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SQLDomainGen,com.sqldomaingen.model,Table,33,47,2,2,2,11,5,8,3,8
SQLDomainGen,com.sqldomaingen.model,Relationship.RelationshipType,0,27,0,0,0,5,0,1,0,1
SQLDomainGen,com.sqldomaingen.model,Relationship,0,82,0,0,0,12,0,20,0,20
SQLDomainGen,com.sqldomaingen.model,Column,83,126,0,0,12,18,24,31,24,31
SQLDomainGen,com.sqldomaingen,SQLDomainGenApplication,5,3,0,0,2,1,1,1,1,1
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ColumnNameListContext,31,21,2,2,7,6,9,3,7,3
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLBaseListener,106,31,0,0,106,29,106,29,106,29
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.InsertStatementContext,81,0,4,0,19,0,18,0,16,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.RuleEventContext,33,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TableConstraintContext,76,21,2,2,15,6,17,3,15,3
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.RelationshipTypeContext,18,5,4,0,5,2,5,1,3,1
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SubqueryContext,39,0,4,0,10,0,9,0,7,0
SQLDomainGen,com.sqldomaingen.parser,SQLParser.new BaseErrorListener() {...},14,0,0,0,2,0,2,0,2,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.OrderByClauseContext,29,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,SQLParser.new BaseErrorListener() {...},14,0,0,0,2,0,2,0,2,0
SQLDomainGen,com.sqldomaingen.parser,SQLParser,122,67,11,5,32,13,12,6,5,5
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TriggerStatementContext,94,0,4,0,21,0,20,0,18,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreatePolicyStatementContext,97,0,4,0,22,0,21,0,19,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SqlScriptContext,103,25,2,2,21,7,23,4,21,4
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.PartitionOfClauseContext,35,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SelectListContext,42,0,4,0,11,0,10,0,8,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ActionContext,18,5,4,0,5,2,5,1,3,1
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.DataTypeContext,59,21,2,2,13,6,15,3,13,3
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SelectStatementContext,71,0,4,0,16,0,15,0,13,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.DefaultValueContext,35,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLLexer,14,2555,0,8,7,28,7,10,7,6
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.StatementContext,49,0,4,0,12,0,11,0,9,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.OnUpdateActionContext,23,0,4,0,7,0,6,0,4,0
SQLDomainGen,com.sqldomaingen.parser,CreateTableDefinition,42,148,3,5,4,35,7,10,4,9
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ConstraintContext,79,32,2,2,15,8,17,5,15,5
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreateRuleStatementContext,81,0,4,0,18,0,17,0,15,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.AlterColumnActionContext,61,0,4,0,15,0,14,0,12,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ConditionContext,84,5,4,0,18,2,18,1,16,1
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SchemaNameContext,28,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ParameterContext,34,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.UpdateStatementContext,69,0,4,0,16,0,15,0,13,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.AlterTableStatementContext,58,0,4,0,14,0,13,0,11,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ExcludeElementContext,35,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.OnDeleteActionContext,23,0,4,0,7,0,6,0,4,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.DataManipulationStatementContext,41,0,4,0,10,0,9,0,7,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreateSchemaStatementContext,33,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ArithmeticOperatorContext,23,0,4,0,7,0,6,0,4,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TableReferenceContext,39,0,4,0,10,0,9,0,7,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreateTableStatementContext,60,39,2,2,12,10,14,7,12,7
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ConflictActionContext,41,0,4,0,10,0,9,0,7,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ForeignTableContext,64,0,4,0,15,0,14,0,12,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.PartitionStrategyContext,2,21,2,2,1,6,3,3,1,3
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ValueContext,28,5,4,0,7,2,7,1,5,1
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreateFunctionStatementContext,92,0,4,0,21,0,20,0,18,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.DecimalTypeContext,52,0,4,0,13,0,12,0,10,0
